City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,San Juan,AR,-31.5375,-68.5364,91.99,22,2,7.43,clear sky
290,La Cruz,MX,23.9167,-106.9,67.48,45,2,3.78,clear sky
291,Berekua,DM,15.2333,-61.3167,83.34,47,20,6.91,few clouds
292,Dunedin,NZ,-45.8742,170.5036,59.13,95,98,4.79,overcast clouds
293,Karratha,AU,-20.7377,116.8463,84.7,73,7,9.62,clear sky
294,Isangel,VU,-19.55,169.2667,80.71,89,100,20.71,overcast clouds
295,Fort Smith,US,35.3859,-94.3986,54.25,50,0,0.0,clear sky
296,Kodinsk,RU,58.6881,99.1844,-6.03,99,100,3.27,overcast clouds
297,Pawai,IN,24.2667,80.1667,59.14,47,0,5.48,clear sky
298,Birao,CF,10.2849,22.7882,91.35,9,1,6.91,clear sky
299,Beringovskiy,RU,63.05,179.3167,-26.5,92,25,3.51,scattered clouds
300,Ous,RU,60.9058,61.5186,14.49,92,100,11.23,overcast clouds
301,Butaritari,KI,3.0707,172.7902,81.18,79,33,16.93,light rain
302,Bukama,CD,-9.2,25.85,71.49,93,98,2.42,moderate rain
303,Yumen,CN,40.2833,97.2,23.68,44,55,6.22,broken clouds
304,Sarangani,PH,5.4033,125.4636,82.08,79,77,17.78,broken clouds
305,Robertsport,LR,6.7533,-11.3686,83.1,73,5,13.71,clear sky
306,Homer,US,59.6425,-151.5483,26.49,68,100,10.36,overcast clouds
307,Beni Mazar,EG,28.4962,30.8029,58.26,44,93,12.46,overcast clouds
308,Anadyr,RU,64.75,177.4833,-16.1,76,0,13.42,clear sky
309,Maturin,VE,9.75,-63.1767,88.83,45,63,9.44,broken clouds
310,Talnakh,RU,69.4865,88.3972,-0.8,96,95,11.36,overcast clouds
311,Vila Velha,BR,-20.3297,-40.2925,78.94,82,40,14.97,scattered clouds
312,Guanhaes,BR,-18.775,-42.9325,75.29,87,90,3.74,overcast clouds
313,Pochutla,MX,15.7432,-96.4661,83.82,47,14,4.21,few clouds
314,Fare,PF,-16.7,-151.0167,80.67,75,58,12.12,light rain
315,Coquimbo,CL,-29.9533,-71.3436,64.13,94,100,8.05,light intensity drizzle
